Id,Name,Notes
110,"Genital system, abnormal (includes reproductive system, menses, irregular periods, cryptorchidism, torsion)","ONLY use when caregiver or clinician explicitly states abnormal genital system findings: 'irregular periods', 'cryptorchidism', 'torsion', documented abnormalities - NOT for normal variations, benign findings, or symptoms without specific abnormality."
111,"Genitourinary Infections (Includes pyelonephritis, chronic yeast infections, urinary tract infections (UTIs), recurrent UTIs)","ONLY use when caregiver describes recurrent GU infections (2+ episodes): 'keeps getting UTIs', 'chronic yeast infections', 'kidney infection', antibiotic treatment for repeated infections - NOT for single UTI episodes, occasional infections, or family history of infections."
112,Incontinence (includes bed wetting),"ONLY use when caregiver describes persistent wetting issues beyond typical potty training: 'wets bed every night at age 7', 'has accidents during day', 'relies on pull-ups', ongoing incontinence affecting daily life - NOT for normal potty training process, occasional accidents, or nighttime wetting in children under 5."
113,Renal abnormality (includes kidney stones),"ONLY use when caregiver or clinician explicitly states kidney problems: 'kidney stones', 'kidney defect', 'renal abnormality', 'kidney doesn't work right', nephrology referral - NOT for UTIs, bladder issues, or urinary symptoms without kidney involvement."
114,"Urinary System, Abnormal (includes bladder atonia, abnormal ureters, urine flow obstruction, structural defects)","ONLY use when caregiver or clinician explicitly states structural urinary abnormalities: 'bladder doesn't empty', 'blocked urine flow', 'abnormal ureters', 'bladder atonia', urological surgery needed - NOT for functional urinary issues, incontinence, or infections without structural defects."
115,Growth,"ONLY use as a domain header for organizing Growth conditions, which can include both prenatal and postnatal growth deficiency or slowing - NOT for coding individual patient symptoms or diagnoses. — NOT to be used for coding individual patient symptoms or diagnoses related to growth conditions."
116,Failure to Thrive,"ONLY use when caregiver or clinician explicitly states 'failure to thrive' or 'FTT' diagnosis: documented poor weight gain, growth faltering requiring medical intervention, or a child whose physical growth is substantially below the norm. — NOT for being small, slow growth within normal range, or feeding difficulties without formal FTT diagnosis."
117,Obesity,"ONLY use when caregiver or clinician explicitly states 'obesity' diagnosis or BMI in obese range: 'doctor says obese', 'BMI shows obesity', weight management program, including specific classifications such as Class 2 obesity (BMI 35-39.9 kg/m²) or BMI of 40 kg/m² or higher — NOT for being overweight, large for age, or weight concerns without formal obesity diagnosis"
118,Short stature,"ONLY use when caregiver or clinician explicitly documents height below expected percentiles: 'short stature', 'height under 3rd percentile', endocrinology referral for short stature, height more than 2 standard deviations below the mean for age and gender, disproportionate short stature characterized by short limbs with average-sized trunk, or moderate short stature defined as height more than -3 SD but not more than -4 SD from the mean corrected for age and sex. — NOT for being small for age, family history of short stature, or subjective concerns about height without documented percentiles."
119,"Tall stature, long limbs","ONLY use when caregiver or clinician explicitly documents unusually tall height or long limbs: 'abnormally tall for age', 'height above 97th percentile', 'arms and legs are unusually long', endocrinology referral for tall stature, increased arm span to height ratio (>1.05), reduced upper-to-lower segment ratio (<0.85), or unusually slim extremities, hands, and feet — NOT for normal tall growth, family history of tallness, or subjective observations without documented measurements"
120,"Body weight, abnormal (includes overweight, underweight, obesity, weight gain)","ONLY use when caregiver or clinician describes significant weight abnormalities not meeting specific obesity/underweight criteria: 'gained 20 pounds quickly', 'lost too much weight', 'weight fluctuates dramatically', concerning weight changes requiring monitoring - NOT for normal weight variations, growth spurts, or weight issues better classified by obesity/underweight codes."
121,Underweight,"ONLY use when caregiver or clinician explicitly states patient is clinically underweight: 'doctor says underweight', 'BMI too low', 'needs to gain weight', nutritional intervention for underweight - NOT for being thin, small appetite, or normal lean build without clinical underweight diagnosis."
122,Hearing,ONLY use as a domain header for organizing Hearing conditions and decreased magnitude of sensory perception of sound - NOT for coding individual patient symptoms or diagnoses. — NOT for coding individual patient symptoms or diagnoses.
123,Deafness,"ONLY use when caregiver or clinician explicitly states patient is deaf or has profound hearing loss: 'completely deaf', 'can't hear anything', 'profoundly deaf', uses cochlear implants, deaf school enrollment, or has congenital deafness (present at birth) or infantile-onset deafness occurring before speech acquisition — NOT for hearing impairment, partial hearing loss, or needing hearing aids without complete deafness"
124,Hearing impariment,"ONLY use when caregiver or clinician explicitly documents partial hearing loss: 'hearing loss', 'hard of hearing', 'hearing aids', failed hearing tests, audiology referral for hearing loss, including cases of mixed type hearing loss which combines conductive and sensorineural impairment — NOT for temporary hearing issues, ear infections affecting hearing, or normal hearing variations without documented impairment"
